productName,sku,category,diameter,thread-pitch,material,finish,grade,price,stock
Hex Bolt M8,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M9,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M10,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M11,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M12,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M13,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M14,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M15,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M16,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M17,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M18,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
Hex Bolt M19,BOLT-M8-20-ZINC,industrial.fasteners.hex-bolts,,,,,,0.5,1000
